artist_id,biography,confidence_score,created_at,failure_reason,genres_json,hero_asset,location,name,official_label_profile_url,official_website_url,publication_status,record_company_id,slug,source_evidence_json,updated_at
rca_f0860652,"Argus were a local Melbourne band, comprising of mates who had been to school together and formed the traditional garage band at home. The core of the band was Fabio Versace (Vocals/Drums), Peter Cook (Guitar) and Joe Maestro (Bass). They later went on to form Stealer which shows their progression, and then tour nationally.",0.99,2026-07-25T03:28:27.319Z,,"[""garage""]","https://static.wixstatic.com/media/9acc25_e7a33bd9f61f43bc96684220d1f0753f.png/v1/fit/w_2500,h_1330,al_c/9acc25_e7a33bd9f61f43bc96684220d1f0753f.png",Melbourne,Argus,https://www.lanewaymusic.com.au/argus,,published,rc_b9181116,argus-71ced6,"[{""fieldName"":""biography"",""sourceUrl"":""https://www.lanewaymusic.com.au/argus"",""summary"":""Argus band history and members"",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:28:53.161Z""},{""fieldName"":""genres"",""sourceUrl"":""https://www.lanewaymusic.com.au/argus"",""summary"":""garage band"",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:28:53.161Z""},{""fieldName"":""location"",""sourceUrl"":""https://www.lanewaymusic.com.au/argus"",""summary"":""Melbourne"",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:28:53.161Z""},{""fieldName"":""officialWebsiteUrl"",""sourceUrl"":""https://www.lanewaymusic.com.au/argus"",""summary"":""no official website URL"",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:28:53.161Z""},{""fieldName"":""heroAsset"",""sourceUrl"":""https://www.lanewaymusic.com.au/argus"",""summary"":""no hero asset URL"",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:28:53.161Z""}]",2026-07-25T04:54:34.143Z
rca_f5bd2db2,,0.99,2026-07-25T03:28:27.319Z,Identity confidence 90% is below 98%.,[],,,Bakery,https://www.lanewaymusic.com.au/bakery,,skipped,rc_b9181116,bakery-1fec2e,"[{""fieldName"":""roster_membership"",""sourceUrl"":""https://www.lanewaymusic.com.au/"",""summary"":""Listed as Bakery on the official roster."",""confidenceScore"":0.99,""checkedAt"":""2026-07-25T03:28:27.319Z""}]",2026-07-25T04:54:34.143Z
rca_4b5164d5,,0.99,2026-07-25T03:28:27.319Z,Identity confidence 90% is below 98%.,[],,,Bengal Tigers,https://www.lanewaymusic.com.au/bengaltigers,,skipped,rc_b9181116,bengal-tigers-c4538a,"[{""fieldName"":""roster_membership"",""sourceUrl"":""https://www.lanewaymusic.com.au/"",""summary"":""Listed as Bengal Tigers on the official roster."",""confidenceScore"":0.99,""checkedAt"":""2026-07-25T03:28:27.319Z""}]",2026-07-25T04:54:34.143Z
rca_84a61071,,0.99,2026-07-25T03:28:27.319Z,Identity confidence 90% is below 98%.,[],,,Big Heavy Stuff,https://www.lanewaymusic.com.au/big-heavy-stuff,,skipped,rc_b9181116,big-heavy-stuff-cb1027,"[{""fieldName"":""roster_membership"",""sourceUrl"":""https://www.lanewaymusic.com.au/"",""summary"":""Listed as Big Heavy Stuff on the official roster."",""confidenceScore"":0.99,""checkedAt"":""2026-07-25T03:28:27.319Z""}]",2026-07-25T04:54:34.143Z
rca_26e83b0c,"Billy Miller has been a part of the Australian Music scene since the early seventies, performing with The Ferrets, Billy Millers Great Blokes and The Spaniards. He has worked across the Australian music scene for over 40 years and is still bringing us incredible music to this day.",0.99,2026-07-25T03:28:27.319Z,,"[""rock""]","https://static.wixstatic.com/media/9acc25_e7a33bd9f61f43bc96684220d1f0753f.png/v1/fit/w_2500,h_1330,al_c/9acc25_e7a33bd9f61f43bc96684220d1f0753f.png",Australia,Billy Miller,https://www.lanewaymusic.com.au/billy-miller,,published,rc_b9181116,billy-miller-3f9ad1,"[{""fieldName"":""biography"",""sourceUrl"":""https://www.lanewaymusic.com.au/billy-miller"",""summary"":""Biographical information about Billy Miller's music career"",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:29:45.988Z""},{""fieldName"":""genres"",""sourceUrl"":""https://www.lanewaymusic.com.au/billy-miller"",""summary"":""Genre information inferred from the context of the biography"",""confidenceScore"":0.5,""checkedAt"":""2026-07-25T03:29:45.988Z""},{""fieldName"":""location"",""sourceUrl"":""https://www.lanewaymusic.com.au/billy-miller"",""summary"":""Location mentioned as Australia in the biography"",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:29:45.988Z""},{""fieldName"":""officialWebsiteUrl"",""sourceUrl"":""https://www.lanewaymusic.com.au/billy-miller"",""summary"":""No official website URL found on the page"",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:29:45.988Z""},{""fieldName"":""heroAsset"",""sourceUrl"":""https://www.lanewaymusic.com.au/billy-miller"",""summary"":""No hero asset URL found on the page"",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:29:45.988Z""}]",2026-07-25T04:54:34.143Z
rca_effd9d86,"Billy T was formed by Ross Hannaford and Joe Creighton in Queensland, later joined by Russell Smith and Mick Holden. They played a mix of Reggae, Soul, Funk, and Rock in Melbourne, releasing 3 singles and their debut LP 'No Definitions'. The band had a successful run in the Australian pub circuit with their unique blend of blue-eyed soul and reggae.",0.99,2026-07-25T03:28:27.319Z,,"[""Reggae"",""Soul"",""Funk"",""Rock""]","https://static.wixstatic.com/media/9acc25_e7a33bd9f61f43bc96684220d1f0753f.png/v1/fit/w_2500,h_1330,al_c/9acc25_e7a33bd9f61f43bc96684220d1f0753f.png","Melbourne, Queensland, Australia",Billy T,https://www.lanewaymusic.com.au/billyt,,published,rc_b9181116,billy-t-3ed203,"[{""fieldName"":""biography"",""sourceUrl"":""https://www.lanewaymusic.com.au/billyt"",""summary"":""The biography of Billy T, including formation, members, and music style."",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:30:07.537Z""},{""fieldName"":""genres"",""sourceUrl"":""https://www.lanewaymusic.com.au/billyt"",""summary"":""The genres of music played by Billy T, mentioned as Reggae, Soul, Funk, and Rock."",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:30:07.537Z""},{""fieldName"":""location"",""sourceUrl"":""https://www.lanewaymusic.com.au/billyt"",""summary"":""The location where Billy T played, mentioned as Melbourne, and formed in Queensland."",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:30:07.537Z""},{""fieldName"":""officialWebsiteUrl"",""sourceUrl"":""https://www.lanewaymusic.com.au/billyt"",""summary"":""There is no official website URL mentioned for Billy T."",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:30:07.537Z""},{""fieldName"":""heroAsset"",""sourceUrl"":""https://www.lanewaymusic.com.au/billyt"",""summary"":""There is no hero asset image URL mentioned for Billy T."",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:30:07.537Z""}]",2026-07-25T04:54:34.143Z
rca_6c287f3b,"Bitter Sweet Kicks are a band from St Kilda, playing garage rock blues with a dose of punk. They have been playing Australia's pubs and venues since 2006, known for energetic live shows leaving the stage covered in blood, sweat, and broken glass. Their music is a mix of raw riffs, powerful bass lines, and great frontman Jack Kicks who leaves everything behind during the show.",0.99,2026-07-25T03:28:27.319Z,,"[""garage rock"",""blues"",""punk""]","https://static.wixstatic.com/media/9acc25_8fabbb9586b340cea17d20757bc6b0db~mv2.jpg/v1/fill/w_750,h_500,al_c/9acc25_8fabbb9586b340cea17d20757bc6b0db~mv2.jpg",St Kilda,Bitter Sweet Kicks,https://www.lanewaymusic.com.au/bittersweetkicks,,published,rc_b9181116,bitter-sweet-kicks-aafd57,"[{""fieldName"":""biography"",""sourceUrl"":""https://www.lanewaymusic.com.au/bittersweetkicks"",""summary"":""Biographical information about Bitter Sweet Kicks"",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:30:26.594Z""},{""fieldName"":""genres"",""sourceUrl"":""https://www.lanewaymusic.com.au/bittersweetkicks"",""summary"":""Genres played by Bitter Sweet Kicks"",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:30:26.594Z""},{""fieldName"":""location"",""sourceUrl"":""https://www.lanewaymusic.com.au/bittersweetkicks"",""summary"":""Location of Bitter Sweet Kicks"",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:30:26.594Z""},{""fieldName"":""officialWebsiteUrl"",""sourceUrl"":""https://www.lanewaymusic.com.au/bittersweetkicks"",""summary"":""No official website URL found"",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:30:26.594Z""},{""fieldName"":""heroAsset"",""sourceUrl"":""https://www.lanewaymusic.com.au/bittersweetkicks"",""summary"":""No hero asset image URL found"",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:30:26.594Z""}]",2026-07-25T04:54:34.143Z
rca_cb748670,,0.99,2026-07-25T03:28:27.319Z,Identity confidence 80% is below 98%.,[],,,Blackfeather,https://www.lanewaymusic.com.au/blackfeather,,skipped,rc_b9181116,blackfeather-de04eb,"[{""fieldName"":""roster_membership"",""sourceUrl"":""https://www.lanewaymusic.com.au/"",""summary"":""Listed as Blackfeather on the official roster."",""confidenceScore"":0.99,""checkedAt"":""2026-07-25T03:28:27.319Z""}]",2026-07-25T04:54:34.143Z
rca_48348038,,0.99,2026-07-25T03:28:27.319Z,Identity confidence 90% is below 98%.,[],,,Buzz & The Pickups,https://www.lanewaymusic.com.au/buzzandthepickups,,skipped,rc_b9181116,buzz-and-the-pickups-72b30a,"[{""fieldName"":""roster_membership"",""sourceUrl"":""https://www.lanewaymusic.com.au/"",""summary"":""Listed as Buzz & The Pickups on the official roster."",""confidenceScore"":0.99,""checkedAt"":""2026-07-25T03:28:27.319Z""}]",2026-07-25T04:54:34.143Z
rca_992a163c,"Cattletruck, led by Paul Janovskis, emerged in the 80's as a semi-acoustic punkabilly covers outfit in Melbourne's St Kilda scene. They gained notoriety for playing anywhere, anytime, and eventually went electric, earning a following and a major record deal. After 30 years, Janovskis revives his past, performing 80's singles with a new five-piece band.",0.99,2026-07-25T03:28:27.319Z,,"[""punkabilly"",""rock'n'roll""]","https://static.wixstatic.com/media/9acc25_e7a33bd9f61f43bc96684220d1f0753f.png/v1/fit/w_2500,h_1330,al_c/9acc25_e7a33bd9f61f43bc96684220d1f0753f.png","Melbourne, Australia",Cattletruck,https://www.lanewaymusic.com.au/cattletruck,,published,rc_b9181116,cattletruck-dbdc81,"[{""fieldName"":""biography"",""sourceUrl"":""https://www.lanewaymusic.com.au/cattletruck"",""summary"":""The official Laneway Music page for Cattletruck provides a detailed biography of the artist."",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:31:07.054Z""},{""fieldName"":""genres"",""sourceUrl"":""https://www.lanewaymusic.com.au/cattletruck"",""summary"":""The page mentions 'punkabilly' and 'rock'n'roll' as genres associated with Cattletruck."",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:31:07.054Z""},{""fieldName"":""location"",""sourceUrl"":""https://www.lanewaymusic.com.au/cattletruck"",""summary"":""The page mentions Melbourne's St Kilda scene as the origin of Cattletruck."",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:31:07.054Z""},{""fieldName"":""officialWebsiteUrl"",""sourceUrl"":""https://www.lanewaymusic.com.au/cattletruck"",""summary"":""No official website URL is present on the page."",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:31:07.054Z""},{""fieldName"":""heroAsset"",""sourceUrl"":""https://www.lanewaymusic.com.au/cattletruck"",""summary"":""No hero asset image URL is present on the page."",""confidenceScore"":1,""checkedAt"":""2026-07-25T03:31:07.054Z""}]",2026-07-25T04:54:34.143Z
