artist,reason,recordedAt,sourceUrl
Bakery,Identity confidence 90% is below 98%.,2026-07-25T03:29:12.636Z,https://www.lanewaymusic.com.au/bakery
Bengal Tigers,Identity confidence 90% is below 98%.,2026-07-25T03:29:22.776Z,https://www.lanewaymusic.com.au/bengaltigers
Big Heavy Stuff,Identity confidence 90% is below 98%.,2026-07-25T03:29:34.483Z,https://www.lanewaymusic.com.au/big-heavy-stuff
Blackfeather,Identity confidence 80% is below 98%.,2026-07-25T03:30:46.340Z,https://www.lanewaymusic.com.au/blackfeather
Buzz & The Pickups,Identity confidence 90% is below 98%.,2026-07-25T03:30:55.985Z,https://www.lanewaymusic.com.au/buzzandthepickups
Celibate Rifles,Identity confidence 80% is below 98%.,2026-07-25T03:31:36.755Z,https://www.lanewaymusic.com.au/celibaterifles
City Sharps,Identity confidence 80% is below 98%.,2026-07-25T03:35:23.359Z,https://www.lanewaymusic.com.au/citysharps
Crash Politics,Identity confidence 90% is below 98%.,2026-07-25T03:35:35.062Z,https://www.lanewaymusic.com.au/crashpolitics
Daniel,Identity confidence 80% is below 98%.,2026-07-25T03:36:10.422Z,https://www.lanewaymusic.com.au/daniel
Deckchairs Overboard,Identity confidence 90% is below 98%.,2026-07-25T03:36:44.330Z,https://www.lanewaymusic.com.au/deckchairs-overboard
Do Re Mi,Identity confidence 80% is below 98%.,2026-07-25T03:37:12.664Z,https://www.lanewaymusic.com.au/do-re-mi
Draught Dodgers,Identity confidence 80% is below 98%.,2026-07-25T03:37:44.098Z,https://www.lanewaymusic.com.au/draughtdodgers
Eduardo Miller,Identity confidence 90% is below 98%.,2026-07-25T03:38:14.371Z,https://www.lanewaymusic.com.au/eduardo-miller
Electric Pandas,Identity confidence 80% is below 98%.,2026-07-25T03:38:59.808Z,https://www.lanewaymusic.com.au/electric-pandas
Glyn Mason,Identity confidence 80% is below 98%.,2026-07-25T03:39:50.483Z,https://www.lanewaymusic.com.au/glyn-mason
Harem Scarem,Identity confidence 90% is below 98%.,2026-07-25T03:40:08.143Z,https://www.lanewaymusic.com.au/haremscarem
James McCann,Identity confidence 90% is below 98%.,2026-07-25T03:41:10.202Z,https://www.lanewaymusic.com.au/jamesmccann
Joey Amenta,Identity confidence 80% is below 98%.,2026-07-25T03:42:44.718Z,https://www.lanewaymusic.com.au/joey-amenta
Johnny Kannis,Identity confidence 90% is below 98%.,2026-07-25T03:43:34.419Z,https://www.lanewaymusic.com.au/johnny-kannis
Kent Steedman,Identity confidence 90% is below 98%.,2026-07-25T03:44:21.117Z,https://www.lanewaymusic.com.au/kentsteedman
Mike Rudd,Identity confidence 80% is below 98%.,2026-07-25T03:49:09.239Z,https://www.lanewaymusic.com.au/mike-rudd
Mississippi Shakedown,Identity confidence 90% is below 98%.,2026-07-25T03:49:20.302Z,https://www.lanewaymusic.com.au/mississippishakedown
New Age,Identity confidence 90% is below 98%.,2026-07-25T03:49:47.903Z,https://www.lanewaymusic.com.au/new-age
Old Blue Dogs,Identity confidence 90% is below 98%.,2026-07-25T03:49:57.214Z,https://www.lanewaymusic.com.au/oldbluedogs
Phil Manning,Identity confidence 90% is below 98%.,2026-07-25T03:50:49.599Z,https://www.lanewaymusic.com.au/phil-manning
Radio KSG,Identity confidence 80% is below 98%.,2026-07-25T03:54:55.081Z,https://www.lanewaymusic.com.au/radioksg
ReggaeSPYS,Identity confidence 90% is below 98%.,2026-07-25T03:55:06.239Z,https://www.lanewaymusic.com.au/reggaespys
Serelle,Identity confidence 80% is below 98%.,2026-07-25T03:55:35.577Z,https://www.lanewaymusic.com.au/serelle
She's The Driver,Identity confidence 40% is below 98%.,2026-07-25T03:56:08.061Z,https://www.lanewaymusic.com.au/she-s-the-driver
Stephen Walls,Identity confidence 80% is below 98%.,2026-07-25T03:57:47.136Z,https://www.lanewaymusic.com.au/stephenwalls
Steve Hoy,Identity confidence 80% is below 98%.,2026-07-25T03:57:59.333Z,https://www.lanewaymusic.com.au/steve-hoy
Stockley See Mason,Identity confidence 80% is below 98%.,2026-07-25T03:58:09.188Z,https://www.lanewaymusic.com.au/stockleyseemason
The Hitmen,Identity confidence 90% is below 98%.,2026-07-25T04:05:09.438Z,https://www.lanewaymusic.com.au/the-hitmen
Them Swoops,Identity confidence 90% is below 98%.,2026-07-25T04:06:20.666Z,https://www.lanewaymusic.com.au/themswoops
Vanilla Chainsaws,Identity confidence 90% is below 98%.,2026-07-25T04:07:30.399Z,https://www.lanewaymusic.com.au/vanillachainsaws
Violetine,Identity confidence 80% is below 98%.,2026-07-25T04:07:41.094Z,https://www.lanewaymusic.com.au/violetine
Young Modern,Identity confidence 80% is below 98%.,2026-07-25T04:08:24.030Z,https://www.lanewaymusic.com.au/youngmodern
vSpy vSpy,Identity confidence 90% is below 98%.,2026-07-25T04:11:34.794Z,https://www.lanewaymusic.com.au/v-spy-v-spy
