artist_id,checked_at,confidence_score,entity_id,entity_type,extracted_summary,field_name,record_company_id,source_id,source_title,source_url
rca_01f22af2,2026-07-25T03:39:17.729Z,1,rca_01f22af2,artist,Official artist page with biography,biography,rc_b9181116,rcs_2032fec9,,https://www.lanewaymusic.com.au/fuzzrays
rca_01f22af2,2026-07-25T03:39:17.729Z,1,rca_01f22af2,artist,Genres inferred from biography text,genres,rc_b9181116,rcs_0cd4eb3e,,https://www.lanewaymusic.com.au/fuzzrays
rca_01f22af2,2026-07-25T03:39:17.729Z,1,rca_01f22af2,artist,Location mentioned in biography text,location,rc_b9181116,rcs_9df5940f,,https://www.lanewaymusic.com.au/fuzzrays
rca_0443ced3,2026-07-25T03:57:29.464Z,1,rca_0443ced3,artist,"Biographical information about Spencer P. Jones, including his legacy and achievements.",biography,rc_b9181116,rcs_087a41b4,,https://www.lanewaymusic.com.au/spencerpjones
rca_0443ced3,2026-07-25T03:57:29.464Z,1,rca_0443ced3,artist,"Genre information inferred from the biography, mentioning 'Australian rock legend'.",genres,rc_b9181116,rcs_4701c839,,https://www.lanewaymusic.com.au/spencerpjones
rca_0443ced3,2026-07-25T03:57:29.464Z,1,rca_0443ced3,artist,No hero asset image URL found on the page.,heroAsset,rc_b9181116,rcs_56ff042d,,https://www.lanewaymusic.com.au/spencerpjones
rca_0443ced3,2026-07-25T03:57:29.464Z,1,rca_0443ced3,artist,Location mentioned as Australia in the biography.,location,rc_b9181116,rcs_9e94728e,,https://www.lanewaymusic.com.au/spencerpjones
rca_0443ced3,2026-07-25T03:57:29.464Z,1,rca_0443ced3,artist,No official website URL found on the page.,officialWebsiteUrl,rc_b9181116,rcs_61a7e6de,,https://www.lanewaymusic.com.au/spencerpjones
rca_09ede191,2026-07-25T04:07:55.960Z,1,rca_09ede191,artist,Official biography of Virgin Soldiers from Laneway Music,biography,rc_b9181116,rcs_606e727c,,https://www.lanewaymusic.com.au/virgin-soldiers
rca_09ede191,2026-07-25T04:07:55.960Z,0.8,rca_09ede191,artist,Genres inferred from biography text,genres,rc_b9181116,rcs_d846a0a9,,https://www.lanewaymusic.com.au/virgin-soldiers
rca_09ede191,2026-07-25T04:07:55.960Z,1,rca_09ede191,artist,Location mentioned in biography text,location,rc_b9181116,rcs_db3edd1a,,https://www.lanewaymusic.com.au/virgin-soldiers
rca_132f9f23,2026-07-25T03:32:50.203Z,1,rca_132f9f23,artist,The official Laneway Music page provides a detailed biography of The Chosen Few/Deathwish.,biography,rc_b9181116,rcs_1d70660e,,https://www.lanewaymusic.com.au/thechosenfew-deathwish
rca_132f9f23,2026-07-25T03:32:50.203Z,1,rca_132f9f23,artist,"The page mentions influences from US punk rock bands like The Stooges and MC5, and harder-edged 60s rock tracks.",genres,rc_b9181116,rcs_7442e959,,https://www.lanewaymusic.com.au/thechosenfew-deathwish
rca_132f9f23,2026-07-25T03:32:50.203Z,1,rca_132f9f23,artist,There is no hero asset image URL mentioned on the page.,heroAsset,rc_b9181116,rcs_f7e3c955,,https://www.lanewaymusic.com.au/thechosenfew-deathwish
rca_132f9f23,2026-07-25T03:32:50.203Z,1,rca_132f9f23,artist,The page explicitly states that the band is from Australia's Mornington Peninsula.,location,rc_b9181116,rcs_d374d91c,,https://www.lanewaymusic.com.au/thechosenfew-deathwish
rca_132f9f23,2026-07-25T03:32:50.203Z,1,rca_132f9f23,artist,There is no official website URL mentioned on the page.,officialWebsiteUrl,rc_b9181116,rcs_50461254,,https://www.lanewaymusic.com.au/thechosenfew-deathwish
rca_1677cfec,2026-07-25T03:45:07.607Z,1,rca_1677cfec,artist,Biographical information about Kerryn Tolhurst's music career,biography,rc_b9181116,rcs_c5f88b75,,https://www.lanewaymusic.com.au/kerryntolhurst
