Record ID,Band Name,Factory Status,Confidence,Official YouTube Channel,Most Popular Verified Video Title,Most Popular Verified Video URL,Selection Basis,Verified At,Permanent URL,Edition ID,QR Poster Variant,Failure / Omission Reason
JBX-WD-Q1051182,Nick Cave and the Bad Seeds,rejected,64,,,,,2026-08-03T11:51:55.989Z,,,,A concise biography could not be extracted from an identity-verified official source. | The most-viewed embeddable video on the verified official YouTube channel could not be proved.
JBX-WD-Q487586,Snog,rejected,80,,,,,2026-08-03T11:51:31.413Z,,,,The most-viewed embeddable video on the verified official YouTube channel could not be proved.
JBX-WD-Q253844,San Cisco,rejected,90,https://www.youtube.com/channel/UCdJCBo-Fa4qLpuwOGR0qdAA,San Cisco - Family Trust (Official Music Video),https://www.youtube.com/watch?v=OmE6MY75i8g,most-viewed-official,2026-08-03T11:51:29.683Z,,,,At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q61107,Architecture in Helsinki,rejected,70,,,,,2026-08-03T11:51:34.570Z,,,,The most-viewed embeddable video on the verified official YouTube channel could not be proved. | At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q157327,Silverchair,rejected,84,https://www.youtube.com/channel/UC7GKCAc8HNjraXz1bRy7Oaw,Silverchair - Cemetery (Official Video),https://www.youtube.com/watch?v=GSIulfUP02M,most-viewed-official,2026-08-03T11:51:39.859Z,,,,A concise biography could not be extracted from an identity-verified official source.
JBX-WD-Q539502,Tonight Alive,rejected,90,https://www.youtube.com/channel/UCgd1OFjJ8ROQfjUu3KQ0XkQ,Tonight Alive sign to Hopeless Records/UNFD,https://www.youtube.com/watch?v=WCYEXuya6NE,most-viewed-official,2026-08-03T11:51:48.601Z,,,,At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q128220,The Jezabels,rejected,90,https://www.youtube.com/channel/UCFdgWifhQ3COhLLujLHK0Dg,The Jezabels - Endless Summer (Acoustic : From the Loungeroom 2022),https://www.youtube.com/watch?v=Z5-AayspvhY,most-viewed-official,2026-08-03T11:51:48.642Z,,,,At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q977452,Clue to Kalo,rejected,64,,,,,2026-08-03T11:51:55.580Z,,,,A concise biography could not be extracted from an identity-verified official source. | The most-viewed embeddable video on the verified official YouTube channel could not be proved.
JBX-WD-Q27593,AC/DC,rejected,84,https://www.youtube.com/channel/UCB0JSO6d5ysH2Mmqz5I9rIw,"AC/DC - The Jack (Downsview Park Toronto Rocks, July 2003)",https://www.youtube.com/watch?v=0F0d48zoOKI,most-viewed-official,2026-08-03T11:51:56.051Z,,,,A concise biography could not be extracted from an identity-verified official source.
JBX-WD-Q592387,The Seekers,rejected,80,,,,,2026-08-03T11:52:03.844Z,,,,The most-viewed embeddable video on the verified official YouTube channel could not be proved.
