Record ID,Band Name,Factory Status,Confidence,Official YouTube Channel,Most Popular Verified Video Title,Most Popular Verified Video URL,Selection Basis,Verified At,Permanent URL,Edition ID,QR Poster Variant,Failure / Omission Reason
JBX-WD-Q494270,Rogue Traders,configured,100,https://www.youtube.com/user/RogueTradersVEVO,Rogue Traders - Hearts Beat As One (Official Song of the Qantas Socceroos),https://www.youtube.com/watch?v=XO4tvxt5CQ0,most-viewed-official,2026-08-03T11:32:25.561Z,https://deep-cuts.andrewharris501.workers.dev/e/dc_24c509ffd1,dc_24c509ffd1,aggits-character-poster/1,"file:///C:/Users/andre/Documents/Codex/2026-07-26/https-deep-cuts-andrewharris501-workers-dev/scripts/create-edition.mjs:280
    if(item.kind==='show'&&(!item.dateLabel||!item.venue))throw new Error(`JookBox show ${item.id||'unknown'} requires a verified date label and venue.`);
                                                                ^

Error: JookBox show show-0046cd30 requires a verified date label and venue.
    at file:///C:/Users/andre/Documents/Codex/2026-07-26/https-deep-cuts-andrewharris501-workers-dev/scripts/create-edition.mjs:280:65
    at Array.map (<anonymous>)
    at validateJookBoxSelections (file:///C:/Users/andre/Documents/Codex/2026-07-26/https-deep-cuts-andrewharris501-workers-dev/scripts/create-edition.mjs:260:21)
    at file:///C:/Users/andre/Documents/Codex/2026-07-26/https-deep-cuts-andrewharris501-workers-dev/scripts/create-edition.mjs:45:20

Node.js v24.14.0"
JBX-WD-Q537424,Angelspit,configured,100,https://www.youtube.com/user/krankhaus,Ice Planet 9000's 4th Album is Kickstarting now! #DarkAmbient #spacemusic #Vangelis #BerlinSchool,https://www.youtube.com/watch?v=B8cfSs6mJiM,most-viewed-official,2026-08-03T11:20:39.685Z,https://deep-cuts.andrewharris501.workers.dev/e/dc_5fc05fa620,dc_5fc05fa620,aggits-character-poster/1,
JBX-WD-Q1051182,Nick Cave and the Bad Seeds,rejected,64,,,,,2026-08-03T11:51:55.989Z,,,,A concise biography could not be extracted from an identity-verified official source. | The most-viewed embeddable video on the verified official YouTube channel could not be proved.
JBX-WD-Q487586,Snog,rejected,80,,,,,2026-08-03T11:51:31.413Z,,,,The most-viewed embeddable video on the verified official YouTube channel could not be proved.
JBX-WD-Q914012,Planetshakers,configured,100,https://www.youtube.com/@planetshakerstv/,"Less Of Me, More Of You | Planetshakers | Mighty God Live Album",https://www.youtube.com/watch?v=OnNwoodEFp4,most-viewed-official,2026-08-03T11:48:36.916Z,https://deep-cuts.andrewharris501.workers.dev/e/dc_73cd2cc39e,dc_73cd2cc39e,aggits-character-poster/1,"file:///C:/Users/andre/Documents/Codex/2026-07-26/https-deep-cuts-andrewharris501-workers-dev/scripts/start-edition.mjs:15
  if(job.status!=='in_progress')throw new Error(`A completed factory job already exists for ${bandName}.`);
                                      ^

Error: A completed factory job already exists for Planetshakers.
    at file:///C:/Users/andre/Documents/Codex/2026-07-26/https-deep-cuts-andrewharris501-workers-dev/scripts/start-edition.mjs:15:39

Node.js v24.14.0"
JBX-WD-Q736766,Wolfmother,configured,100,https://www.youtube.com/channel/UC6VWE_jbihcn_2kJBUZWX2Q,Wolfmother - Love Train (Audio / Chicken Lips Remix),https://www.youtube.com/watch?v=gu53f8umqZE,most-viewed-official,2026-08-03T11:32:24.423Z,https://deep-cuts.andrewharris501.workers.dev/e/dc_b52be0b54a,dc_b52be0b54a,aggits-character-poster/1,"file:///C:/Users/andre/Documents/Codex/2026-07-26/https-deep-cuts-andrewharris501-workers-dev/scripts/create-edition.mjs:280
    if(item.kind==='show'&&(!item.dateLabel||!item.venue))throw new Error(`JookBox show ${item.id||'unknown'} requires a verified date label and venue.`);
                                                                ^

Error: JookBox show show-07b284bd requires a verified date label and venue.
    at file:///C:/Users/andre/Documents/Codex/2026-07-26/https-deep-cuts-andrewharris501-workers-dev/scripts/create-edition.mjs:280:65
    at Array.map (<anonymous>)
    at validateJookBoxSelections (file:///C:/Users/andre/Documents/Codex/2026-07-26/https-deep-cuts-andrewharris501-workers-dev/scripts/create-edition.mjs:260:21)
    at file:///C:/Users/andre/Documents/Codex/2026-07-26/https-deep-cuts-andrewharris501-workers-dev/scripts/create-edition.mjs:45:20

Node.js v24.14.0"
JBX-WD-Q381722,Australian Pink Floyd Show,configured,100,https://www.youtube.com/channel/UCt2opuko_zFANT0Q5qfFUZw,Us And Them - The Dark Side Of The Moon Live 2023 - Performed By The Australian Pink Floyd Show,https://www.youtube.com/watch?v=Mp-LMEFnYLw,most-viewed-official,2026-08-03T11:21:10.260Z,https://deep-cuts.andrewharris501.workers.dev/e/dc_0b0dc0187e,dc_0b0dc0187e,aggits-character-poster/1,
JBX-WD-Q253844,San Cisco,rejected,90,https://www.youtube.com/channel/UCdJCBo-Fa4qLpuwOGR0qdAA,San Cisco - Family Trust (Official Music Video),https://www.youtube.com/watch?v=OmE6MY75i8g,most-viewed-official,2026-08-03T11:51:29.683Z,,,,At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q61107,Architecture in Helsinki,rejected,70,,,,,2026-08-03T11:51:34.570Z,,,,The most-viewed embeddable video on the verified official YouTube channel could not be proved. | At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q157327,Silverchair,rejected,84,https://www.youtube.com/channel/UC7GKCAc8HNjraXz1bRy7Oaw,Silverchair - Cemetery (Official Video),https://www.youtube.com/watch?v=GSIulfUP02M,most-viewed-official,2026-08-03T11:51:39.859Z,,,,A concise biography could not be extracted from an identity-verified official source.
JBX-WD-Q1078,Birds of Tokyo,configured,100,https://www.youtube.com/channel/UCdTpdO3tq-GZ3BraW4ROoNQ,Birds of Tokyo – ‘Starlights’ (Official Video),https://www.youtube.com/watch?v=IGTa6lsT01g,most-viewed-official,2026-08-03T11:32:35.746Z,https://deep-cuts.andrewharris501.workers.dev/e/dc_0071724e35,dc_0071724e35,aggits-character-poster/1,"file:///C:/Users/andre/Documents/Codex/2026-07-26/https-deep-cuts-andrewharris501-workers-dev/scripts/create-edition.mjs:280
    if(item.kind==='show'&&(!item.dateLabel||!item.venue))throw new Error(`JookBox show ${item.id||'unknown'} requires a verified date label and venue.`);
                                                                ^

Error: JookBox show show-8199d98d requires a verified date label and venue.
    at file:///C:/Users/andre/Documents/Codex/2026-07-26/https-deep-cuts-andrewharris501-workers-dev/scripts/create-edition.mjs:280:65
    at Array.map (<anonymous>)
    at validateJookBoxSelections (file:///C:/Users/andre/Documents/Codex/2026-07-26/https-deep-cuts-andrewharris501-workers-dev/scripts/create-edition.mjs:260:21)
    at file:///C:/Users/andre/Documents/Codex/2026-07-26/https-deep-cuts-andrewharris501-workers-dev/scripts/create-edition.mjs:45:20

Node.js v24.14.0"
JBX-WD-Q750607,Frenzal Rhomb,configured,100,https://www.youtube.com/channel/UCL3qFVJYh-tks9GeQG9ioow,Where Drug Dealers Take Their Kids,https://www.youtube.com/watch?v=-ttj61BnePk,most-viewed-official,2026-08-03T11:21:20.389Z,https://deep-cuts.andrewharris501.workers.dev/e/dc_a800c6bad5,dc_a800c6bad5,aggits-character-poster/1,
JBX-WD-Q5207054,DZ Deathrays,configured,100,https://www.youtube.com/channel/UCPAEiAuuz63M6DIuyAOWMLg,DZ Deathrays - Like People Live (featuring Murray Cook from the Wiggles),https://www.youtube.com/watch?v=3Dg50NElVtU,most-viewed-official,2026-08-03T11:43:38.383Z,https://deep-cuts.andrewharris501.workers.dev/e/dc_447409856f,dc_447409856f,aggits-character-poster/1,
JBX-WD-Q690404,The Temper Trap,configured,100,https://www.youtube.com/channel/UC-1k7y80RAIK_JlXP8WlDDw,The Temper Trap - Lifeline (Official Visualiser),https://www.youtube.com/watch?v=xBar8-B7fBw,most-viewed-official,2026-08-03T11:43:36.449Z,https://deep-cuts.andrewharris501.workers.dev/e/dc_c61dc6297d,dc_c61dc6297d,aggits-character-poster/1,
JBX-WD-Q539502,Tonight Alive,rejected,90,https://www.youtube.com/channel/UCgd1OFjJ8ROQfjUu3KQ0XkQ,Tonight Alive sign to Hopeless Records/UNFD,https://www.youtube.com/watch?v=WCYEXuya6NE,most-viewed-official,2026-08-03T11:51:48.601Z,,,,At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q324400,Dead Can Dance,configured,100,https://www.youtube.com/channel/UCZn4_LiKXOu-ArkS4sJTG5w,Dead Can Dance - Mushin,https://www.youtube.com/watch?v=BmpWw8dI1-Y,most-viewed-official,2026-08-03T11:21:37.109Z,https://deep-cuts.andrewharris501.workers.dev/e/dc_d5da00c80d,dc_d5da00c80d,aggits-character-poster/1,
JBX-WD-Q128220,The Jezabels,rejected,90,https://www.youtube.com/channel/UCFdgWifhQ3COhLLujLHK0Dg,The Jezabels - Endless Summer (Acoustic : From the Loungeroom 2022),https://www.youtube.com/watch?v=Z5-AayspvhY,most-viewed-official,2026-08-03T11:51:48.642Z,,,,At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q489801,INXS,configured,100,https://www.youtube.com/user/inxsofficial,"INXS - Disappear (Réveillon réveillons, December 31, 1990)",https://www.youtube.com/watch?v=G6Dn2zcSC84,most-viewed-official,2026-08-03T11:21:47.953Z,https://deep-cuts.andrewharris501.workers.dev/e/dc_36e2298568,dc_36e2298568,aggits-character-poster/1,
